,word,idf_weights
0,aa,13.604521195063684
1,aaa,13.42219963826973
2,aaaa,14.520811926937839
3,aaaaahh,14.115346818829675
4,aand,14.520811926937839
5,aare,14.520811926937839
6,aaron,13.268048958442472
7,aarp,14.520811926937839
8,ab,14.520811926937839
9,abandon,13.268048958442472
10,abandonment,14.520811926937839
11,abbey,12.911374014503739
12,abbreviation,14.115346818829675
13,abby,12.505908906395575
14,abc,13.604521195063684
15,abcs,14.115346818829675
16,abd,14.520811926937839
17,abdominal,14.115346818829675
18,abduct,13.827664746377895
19,abide,14.115346818829675
20,abigail,12.169436669774361
21,ability,11.955862569476302
22,abismal,14.115346818829675
23,able,9.611840286618083
24,abnormal,14.115346818829675
25,abode,14.520811926937839
26,aboslutely,14.115346818829675
27,abot,14.115346818829675
28,abou,13.42219963826973
29,about,6.365019112467666
30,abouts,14.520811926937839
31,aboutyou,14.115346818829675
32,above,11.60304119485356
33,abput,14.520811926937839
34,abroad,11.385317711008689
35,abrupt,14.115346818829675
36,abs,13.42219963826973
37,absence,13.827664746377895
38,absentee,14.520811926937839
39,absinth,14.520811926937839
40,absinthe,14.115346818829675
41,abso,14.115346818829675
42,absolute,12.035905277149839
43,absolutely,9.982850490643198
44,absorb,13.827664746377895
45,abstain,14.520811926937839
46,abstract,12.816063834699415
47,absurd,13.827664746377895
48,abt,14.115346818829675
49,abuse,13.016734530161566
50,abusive,13.827664746377895
51,abut,14.115346818829675
52,abuzz,14.115346818829675
53,ac,12.729052457709784
54,academia,13.604521195063684
55,academic,11.81276172583563
56,academy,12.574901777882527
57,acadia,14.520811926937839
58,acapella,14.115346818829675
59,acara,13.42219963826973
60,accelerate,14.520811926937839
61,accelerated,14.520811926937839
62,accent,11.748223204698059
63,accentuate,14.520811926937839
64,accenture,13.604521195063684
65,accept,11.103085243324474
66,acceptable,14.115346818829675
67,acceptance,13.42219963826973
68,accepting,14.520811926937839
69,access,12.380745763441569
70,accessible,13.827664746377895
71,accessory,13.604521195063684
72,accident,10.52261122526864
73,accidental,14.115346818829675
74,accidentally,12.649009750036248
75,accidently,13.827664746377895
76,accomidation,14.115346818829675
77,accommodate,14.520811926937839
78,accomodate,14.115346818829675
79,accomodating,14.520811926937839
80,accompany,13.827664746377895
81,accomplish,12.441370385258004
82,accomplished,13.42219963826973
83,accomplishment,12.729052457709784
84,accord,12.649009750036248
85,accostiate,14.520811926937839
86,account,11.070824381106252
87,accountant,10.301304221761733
88,accounting,11.500387040793477
89,accras,14.520811926937839
90,acct,14.115346818829675
91,accumulate,14.520811926937839
92,accumulation,14.115346818829675
93,accuracy,14.520811926937839
94,accurate,14.115346818829675
95,accuse,13.827664746377895
96,accustom,14.115346818829675
97,accustomed,14.520811926937839
98,acdc,14.115346818829675
99,ace,13.016734530161566
100,acess,14.520811926937839
101,ache,12.911374014503739
102,achieve,11.995083282629585
103,achievement,13.268048958442472
104,achiever,14.520811926937839
105,achoo,13.827664746377895
106,achras,14.520811926937839
107,achy,14.520811926937839
108,acid,14.115346818829675
109,ack,14.115346818829675
110,acme,14.520811926937839
111,acne,14.520811926937839
112,acorn,14.520811926937839
113,acoustic,13.42219963826973
114,acquaint,14.520811926937839
115,acquaintance,14.520811926937839
116,acquaintence,14.115346818829675
117,acquire,13.268048958442472
118,acre,12.649009750036248
119,acrobat,14.115346818829675
120,acrobatic,14.520811926937839
121,acronym,14.115346818829675
122,across,10.819509952825346
123,acrually,14.115346818829675
124,acrylic,12.816063834699415
125,act,10.114092679673586
126,actaully,13.604521195063684
127,acting,12.269520128331344
128,action,10.909894014293615
129,active,10.308684329059355
130,activeity,14.115346818829675
131,actively,12.816063834699415
132,activism,12.574901777882527
133,activist,11.748223204698059
134,activite,13.42219963826973
135,activity,10.301304221761733
136,actor,10.47776065910329
137,actree,14.520811926937839
138,actrees,14.520811926937839
139,actress,11.055076024138113
140,actual,11.779971903012639
141,actuallly,14.115346818829675
142,actually,8.192875143208646
143,actuially,14.520811926937839
144,acupuncture,13.827664746377895
145,acura,13.827664746377895
146,acutally,14.115346818829675
147,ad,12.649009750036248
148,adam,11.630440169041675
149,adams,14.115346818829675
150,adapt,13.604521195063684
151,adarsh,13.604521195063684
152,aday,14.520811926937839
153,adc,14.520811926937839
154,add,10.831932472823903
155,addict,11.995083282629585
156,addicted,12.649009750036248
157,addicting,13.827664746377895
158,addiction,11.846663277511311
159,addictive,13.604521195063684
160,addison,14.115346818829675
161,addition,12.169436669774361
162,additional,14.520811926937839
163,address,12.911374014503739
164,adele,13.604521195063684
165,adequate,14.520811926937839
166,adhd,13.827664746377895
167,adia,14.520811926937839
168,adicted,14.115346818829675
169,adidas,14.520811926937839
170,adios,13.604521195063684
171,adirondack,14.115346818829675
172,adjective,14.115346818829675
173,adjunct,14.115346818829675
174,adjust,12.649009750036248
175,adjustable,14.520811926937839
176,adjustment,14.115346818829675
177,admin,13.13451756581795
178,administartive,14.115346818829675
179,administation,14.520811926937839
180,administration,12.12291665413947
181,administrative,13.604521195063684
182,administrator,13.42219963826973
183,adminstration,14.520811926937839
184,adminstrative,14.520811926937839
185,admirable,12.218226833943794
186,admiral,14.520811926937839
187,admiration,14.520811926937839
188,admire,11.748223204698059
189,admission,13.604521195063684
190,admit,11.687598582881623
191,admite,14.520811926937839
192,adn,14.115346818829675
193,ado,14.520811926937839
194,adobe,13.13451756581795
195,adolescent,14.115346818829675
196,adopt,10.316119307546874
197,adoptable,14.115346818829675
198,adoption,12.574901777882527
199,adoptive,14.115346818829675
200,adorable,11.086824722452693
201,adore,10.831932472823903
202,adrag,14.115346818829675
203,adrenaline,12.505908906395575
204,adrift,14.520811926937839
205,adult,11.136421663592065
206,adultnethit,14.520811926937839
207,advance,12.649009750036248
208,advanced,12.911374014503739
209,advancement,13.268048958442472
210,advantage,12.816063834699415
211,advatage,14.115346818829675
212,adventist,13.13451756581795
213,adventre,14.115346818829675
214,adventure,10.795118499701188
215,adventurer,13.268048958442472
216,adventures,14.520811926937839
217,adventurous,12.035905277149839
218,advenure,14.115346818829675
219,advertise,13.016734530161566
220,advertisement,13.42219963826973
221,advertiser,14.115346818829675
222,advertising,11.779971903012639
223,advertstiment,14.520811926937839
224,advice,10.77130785100747
225,advil,14.520811926937839
226,advise,12.505908906395575
227,adviser,13.42219963826973
228,advisor,13.13451756581795
229,advocacy,14.115346818829675
230,advocate,13.604521195063684
231,ae,14.115346818829675
232,aerial,14.520811926937839
233,aerobics,14.520811926937839
234,aerosmith,13.604521195063684
235,aesthetic,13.827664746377895
236,aesthetically,14.115346818829675
237,aet,14.520811926937839
238,af,14.520811926937839
239,afaik,14.520811926937839
240,afar,13.604521195063684
241,afer,14.520811926937839
242,afeter,14.115346818829675
243,affair,11.955862569476302
244,affect,11.60304119485356
245,affection,14.520811926937839
246,affectionate,14.520811926937839
247,affiliate,13.13451756581795
248,affiliation,14.115346818829675
249,affinity,14.115346818829675
250,affluent,14.520811926937839
251,afford,10.44327448303212
252,affordable,12.505908906395575
253,afghanistan,13.827664746377895
254,afghans,14.520811926937839
255,afloat,14.520811926937839
256,afraid,10.223526520719048
257,africa,11.60304119485356
258,africaaaa,14.520811926937839
259,african,13.827664746377895
260,afro,13.604521195063684
261,after,8.379850368683947
262,afterall,14.520811926937839
263,aftermath,14.520811926937839
264,afternoon,9.871624855532973
265,afterparty,14.520811926937839
266,afterward,13.827664746377895
267,afterwards,12.035905277149839
268,afterwords,14.520811926937839
269,ag,14.115346818829675
270,again,9.554476891738164
271,against,11.342758096589893
272,agatha,12.911374014503739
273,age,9.467755916957632
274,aged,12.729052457709784
275,ageism,14.115346818829675
276,agency,11.28213347477346
277,agenda,14.520811926937839
278,agent,11.60304119485356
279,agganis,14.115346818829675
280,aggie,14.520811926937839
281,aggravate,13.827664746377895
282,aggression,14.115346818829675
283,aggressive,13.604521195063684
284,aggressively,14.115346818829675
285,aggro,14.115346818829675
286,agh,14.115346818829675
287,agile,13.604521195063684
288,agility,13.827664746377895
289,agitate,13.13451756581795
290,agitated,13.016734530161566
291,aglio,14.520811926937839
292,agnew,14.520811926937839
293,agnostic,13.604521195063684
294,ago,8.98742243821032
295,agood,14.520811926937839
296,agoraphobia,14.520811926937839
